,SRR9224017,SRR9224018,SRR9224019c,SRR9224020,SRR9224021,SRR9224023,SRR9224024,SRR9224025,SRR9224026,SRR9224065,SRR9224066,SRR9224067,SRR9224068,SRR9224069,SRR9224070,SRR9224071,SRR9224072,SRR9224073,SRR9224074,SRR9224109,SRR9224110,SRR9224111,SRR9224112,SRR9224113,SRR9224114,SRR9224116,SRR9224118,SRR9224119,SRR9224135,SRR9224159,SRR9224160,SRR9224161,SRR9224162,SRR9224163,SRR9224164,SRR9224165,SRR9224166,SRR9224168,SRR9224169,SRR9224172,SRR9224249,SRR9224250,SRR9224251,SRR9224252,SRR9224253,SRR9224255,SRR9224256,SRR9224257,SRR9224258,SRR9224288,SRR9224291,SRR9224292,SRR9224293,SRR9224294,SRR9224295,SRR9224296,SRR9224297,SRR9224298,SRR9224299,SRR9224300,SRR9224311,SRR9224401,SRR9224403c,SRR9224404,SRR9224408,SRR9224462,SRR9224470,SRR9224471,SRR9224472,SRR9224473,SRR9224487
Bacteroides_ovatus_58035_A,0.030720023136776593,0.027872927896845364,0.012341733573942307,0.016925980267928825,0.029490883834114287,0.022748696346923083,0.02046350240779661,0.015324071232729731,0.03125955824968889,0.02722792433123684,0.010125581191727276,0.03775721362682143,0.00800689014976875,0.02433748353466667,0.04517292069104122,0.02161374756132555,0.010495282438031906,0.042660948607652634,0.02671383933685714,0.010414977675,0.012411311692387099,0.00805694902604895,0.016369686647258064,0.01236631071956757,0.020375104592802635,0.007816284879589743,0.009603365957024998,0.012541877715206897,0.03982740428368,0.029921872905534885,0.013917960700628569,0.020194709425333333,0.022849198370666665,0.03339365071934483,0.021740814240638406,0.0302496429656,0.01840382523605769,0.01696445053728,0.01550988235875,0.03681849776867367,0.02203137922464976,0.032886771725924,0.01972154445624243,,0.012268549071428572,0.01663268816457353,0.011081437829961833,0.01251112820623077,0.01678105711586111,0.012193653081945949,0.032893108176909096,0.017622413209907407,0.0396426309219394,0.042236875809271344,0.041582119682376004,0.030348613486486493,0.05527512029956757,0.020312072187263157,0.02331423888,0.05667523986735633,0.03075026688139999,0.007810817988814286,0.028390893115874997,0.026350970669981478,0.04707097066956604,0.027993616856999998,0.012287969560093022,0.008983793265923079,0.013475786005234044,0.014478395440014086,0.006138879861545454
Bacteroides_ovatus_58035_B,0.2583039677922234,0.18010199564115464,0.24436632476405765,0.3624576233410711,0.3145694275638857,0.17440667199307694,0.2210058260042034,0.17367280730427026,0.2933589312663111,0.3176591171977632,0.10125581191727273,0.3146434468901786,0.03469652398233125,0.17644675562633333,0.2504187988409588,0.25708346786967445,0.07738312722966809,0.26909213737134735,0.25378147370014287,0.15969632435,0.2761516851556129,0.22237179311895103,0.18661442777874193,0.21641043759243245,0.28222874253019736,0.14460127027241026,0.05441907375647499,0.1086962735317931,0.18994608196832,0.20401276981046512,0.22964635156037141,0.24810643008266664,0.2856149796333333,0.18180987613865518,0.2637212945343616,0.2722467866904,0.1729959572189423,0.19509118117872,0.10856917651124999,0.2546612762333263,0.18405279169635022,0.19640346939107597,0.14298119730775757,,0.10223790892857144,0.36037491023242646,0.27925223331503823,0.15013353847476923,0.1558241017901389,0.21338892893405406,0.14801898679609088,0.1726996494570926,0.28740907418406064,0.23031684464472865,0.205930497474624,0.2503760612635135,0.2368933727124324,0.17265261359173684,0.08548554256,0.18986205355564367,0.13697846156260002,0.04686490793288572,0.19873625181112498,0.1769279459270185,0.21553549727643398,0.177292906761,0.251903375981907,0.30245437328607694,0.303205185117766,0.328176963306986,0.10640725093345454
Bacteroides_uniformis_57318_A,0.14294727904,0.154792895817,0.097606736408,0.0612852512143,0.11124632237700001,0.156222850782,0.244953994121,0.196607213245,0.145850432726,0.158521408202,0.106724313825,0.21462116469999998,0.043907574041099996,0.104117208014,0.108632313917,0.145026353739,0.0324632972144,0.116374795885,0.126074586696,0.092434527618,0.09376681736300001,0.10004106233799999,0.131265604795,0.0702647222437,0.150675385284,0.090016500398,0.0401677771733,0.08078198237300001,0.20681629901999998,0.102423770193,0.08824907287730001,0.112241595076,0.08003861586910001,0.21674105425700002,0.113849727204,0.149504014003,0.12074492645300001,0.0863074233887,0.13374499349400001,0.123777394157,0.164343840164,0.15942436681,0.24232214368500002,,0.09743412333820001,0.143808603871,0.07593126084919999,0.164413303809,0.118527585889,0.12319203662999999,0.16350660004599998,0.173315923072,0.13611338253,0.136425246347,0.226876233128,0.186320471842,0.097461474568,0.118248750929,0.0754403574845,0.187388553987,0.146392758467,0.030121536998999998,0.127155476149,0.110945490166,0.09766080057839999,0.0724443282572,0.114118532837,0.224486323261,0.166380937926,0.114596935908,0.0682222285192
Bacteroides_fragilis_54507_A,0.104906439877,0.165961296204,0.08601960223850001,0.142549766319,0.13646237268300002,0.10025293133999999,0.16958119329,0.12543365253799998,0.155456874971,0.13072868397600002,0.0882977593428,0.09831060644400001,0.0394578084185,0.140825189622,0.147023239824,0.161441948126,0.053119174693900005,0.116405268358,0.153358905227,0.0651150578325,0.0925646827037,0.106697000656,0.10068460527899999,0.05381799608519999,0.0645097939081,0.123719604253,0.028987146140099996,0.064208932846,0.11113696747400001,0.09574380966939999,0.0359568138901,0.0973127600265,0.0876962912896,0.11555217285,0.0809718327095,0.07242772586980001,0.10056788206499999,0.0924249621732,0.0343820031872,0.084158402674,0.0990786009192,0.185977775396,0.14750335648600002,,0.092213546492,0.0850130644603,0.10404036007300001,0.11293916239,0.146645805669,0.116355236991,0.126040879549,0.111447302945,0.10951729500700001,0.0837360471033,0.0598575404094,0.09304254403339998,0.047037214600599994,0.05744352071619999,0.0528999820632,0.0478270894778,0.137363510949,0.034944531614999996,0.10610345589199999,0.110772988046,0.104267144283,0.245314825666,0.0729940856542,0.0516342230618,0.0738245095108,0.0777285983593,0.0662915711225
Eubacterium_eligens_61678_A,0.037606323427,0.0631352158244,0.0415444505569,0.061869724488399995,0.035640492331199994,0.140444376053,0.0253848051068,0.0239615212018,0.0351289351982,0.0419052215348,0.184991410691,,0.163697629134,0.0488852904581,0.0499342395331,0.07014498919210001,0.16565618878900001,0.026516663116900003,0.0363959446681,0.0989210767429,0.0992822481608,0.0418582800648,0.0482719592369,0.04345711862150001,0.038220634041400005,0.0165844646285,0.157932402396,0.037543679548999995,,0.061424638879199994,0.0505094257472,0.043687367740799996,0.033962492195099996,0.0483373650133,,0.040647182248699995,0.09728617386060001,0.08224979110719999,0.127397478359,0.055689081715400005,0.0844277186012,0.0366671913735,0.0305112405437,,0.09462932296160001,0.05499105814119999,0.0933528303973,0.0455091711166,0.014228048375699999,0.0779456228032,0.08604420072419999,,0.0562560465293,0.08154045473560001,0.0435675433221,,0.030361834698400005,0.0456432732905,0.08626683076760001,0.0608321521411,0.04396618195730001,0.040671205290699994,0.0962916343433,0.051325769661800004,0.0974710649649,0.026159450413999998,0.0338333201748,,0.024786123599400002,,0.0339818861191
Faecalibacterium_prausnitzii_62201_A,0.008900871325535716,,0.012388309512857142,0.011816604326633335,,0.017023344446828573,,,,,0.013817607829649997,,0.009499262916,0.018511705577100822,0.012526166810906665,0.0103302148494,0.023577018564866662,0.0066575897211666665,0.013689737458722224,0.039444116356968754,0.01732383955916129,0.02136458572784302,0.01918949484353181,0.008084949754653847,0.007179588513000001,0.016206969870310346,0.04193176010455384,0.03533214226205826,0.0092141986754,0.0143812877252525,0.009567648031899998,,,0.013723558364885712,,0.008104000229791667,0.014941367003219996,0.012791818400485714,0.02161673065575,0.016792717387457138,0.024012610883306123,0.02005510616497674,0.013404774592299998,,0.019465033161589738,0.014258767905885712,0.01808805965281074,0.022139945826457147,0.028915492296970588,0.01371734166825,0.0168558911595,0.0180809478426,0.014660568203706315,0.015114584662799998,0.01364428335144,0.013422511568416003,0.016133509468504167,0.020067079541023998,0.032393638893337726,0.015646667189805556,0.013232826090304,0.03900595847574013,0.014655099909688855,0.02375521159691373,0.020493359457921054,0.01779006570515417,0.014700493656,0.009171311298680767,0.011493517102866665,0.015006262478873683,0.02184002378923077
Faecalibacterium_prausnitzii_62201_B,0.016021568385964285,,0.03097077378214286,0.023633208653266673,,0.03593817160997143,,,,,0.026099925900450006,,0.018998525832000002,0.06578988563489918,0.034446958729993336,0.025825537123500004,0.07746734671313334,0.013315179442333335,0.03559331739267778,0.10080163069003126,0.04234716336683871,0.05852038699365697,0.0502398332335682,0.012935919607446155,0.0107693827695,0.036015488600689656,0.10948848471744617,0.10116807937094173,0.018428397350800003,0.029868828352447502,0.0109344548936,,,0.03430889591221428,,0.011345600321708331,0.027748253005979995,0.017055757867314284,0.036027884426250004,0.04198179346864285,0.08295265577869389,0.06618185034442325,0.0402143237769,,0.05644859616861025,0.035646919764714284,0.04774537779898927,0.05534986456614287,0.08032081193602941,0.032007130559249995,0.037082960550900004,0.0452023696065,0.040680649518893684,0.045343753988399994,0.03183666115336,0.028522837082884004,0.03918138013779583,0.04264254402467599,0.06352518795966228,0.04068133469349445,0.028119755441895995,0.09981719910425986,0.047424864297911144,0.06278163064898627,0.05738140648217896,0.04320444528394583,0.033076110725999995,0.017323588008619235,0.022987034205733333,0.032513568704226316,0.04914005352576923
Faecalibacterium_prausnitzii_61481_A,0.024574822097304765,0.018088322273428572,0.026582704944345167,0.0168924045405625,,0.02356768316815,0.014152826601900002,0.015861052622444447,0.012960583494799999,0.021057868169169235,0.10345383690833335,,0.09089720886000001,0.06011817385987408,0.0163964621058,0.018194047605933333,0.033943718537907695,0.019402726695875002,0.021368179047404345,0.015536491765901637,0.00783657322324,0.008519497228167272,0.011016833752260001,0.007290780641276924,0.005943401934140001,0.006298302875778947,0.02821041757558139,0.0205161462076,0.01433372767365,0.007099366645466666,0.006378739884485713,0.007028518173711111,0.00546836202745,,0.006017726333184615,0.005585869418022222,0.0076308549206384624,0.008760512481475,0.009645644452085106,0.020073588713999998,0.011333561137729412,,,,0.010136653762114286,,0.014337314778850002,0.010739854221200001,0.006271653107722448,0.011727933865242858,0.008069131499033332,0.005782126993233333,0.006572838956828572,0.007325350434763638,0.005888912966977778,0.0065211611247,0.00649329062191875,0.009673768149583333,0.00911693355927619,0.005393919972250001,0.024943184695242857,0.07157348102321053,0.03597047809612444,0.0350778523218,0.016951373338572,0.011171977123033333,0.007821469121700002,0.005125836822094737,0.006168389701800001,0.007823882800771427,0.007834292761486488
Faecalibacterium_prausnitzii_61481_B,0.015122967444495239,0.01356624170507143,0.01678907680695484,0.010135442724337501,,0.02356768316815,0.0080873294868,0.019826315778055558,0.012960583494799999,0.0017548223474307654,0.008276306952666653,,0.007574767404999984,0.010455334584325926,0.005465487368600001,0.009097023802966668,0.021214824086192307,0.011641636017525001,0.016437060805695652,0.10292925794909837,0.050937725951060005,0.06957589403003273,0.044067335009040004,0.04009929352702308,0.023773607736560003,0.033590948670821054,0.0930943779994186,0.061548438622799996,0.01433372767365,0.05679493316373333,0.03827243930691429,0.02459981360798889,0.01640508608235,,0.03309749483251538,0.019550542963077778,0.09157025904766154,0.026281537444425,0.1414694519639149,0.010036794357,0.020778195419170583,,,,0.025341634405285716,,0.03481919303435,0.042959416884800004,0.07055609746187756,0.015637245153657144,0.040345657495166665,0.02891063496616667,0.01643209739207143,0.012819363260836361,0.020611195384422222,0.0195634833741,0.02813759269498125,0.04836884074791667,0.08661086881312381,0.016181759916750003,0.03325757959365714,0.12989261370878946,0.021839218844075553,0.023385234881200003,0.030135774824127996,0.02234395424606667,0.026071563739,0.027337796384505262,0.018505169105400003,0.01955970700192857,0.10811324010851353
Bacteroides_xylanisolvens_57185_A,0.00768845141090536,0.008089726423425,0.002009942084611765,0.002532602198645631,0.006102898184818182,0.005466592105800001,0.00468971284342154,0.0038104762799419352,0.006947043691726315,0.0049651627505919995,,0.008688261947504888,,0.005723775225316128,0.013156723763193549,0.004149312851353409,,0.011670660447918422,0.006113622666969071,0.0017432217435890413,0.0016763303125666665,0.001188020127041584,0.003533658428454546,0.002084065770229412,0.0038396059356727275,0.0011497542638773586,,0.002793956940311111,0.013806995895969234,0.008892181883607608,0.00254933621231746,0.004096343153183333,0.004657810622618919,0.010575015562285715,0.004778975264397761,0.007250369196462901,0.0047261065761753426,0.0031447353839422006,0.003939365788142857,0.01078853314107907,0.005562961809771427,0.010984972288934426,0.004862832987896774,,0.0030651274000875,0.002282581704060465,0.0016538883184396035,0.002305429435111111,0.003983009899043011,0.00203353156383,0.01286807446778,0.00467157783291111,0.010813900255906669,0.0148629651100175,0.013665749403109094,0.008125365905106121,0.020830851192,0.0049010898524876195,0.009455394188809524,0.025684508466793647,0.011335493899288637,0.002287896006883333,0.007550263477809582,0.007701269833355999,0.017433859923039217,0.009758606270205,0.0019432330143512194,0.000994744493938889,0.0018525361097499998,0.002125405735245129,
