study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_strategy	read_count	base_count	fastq_ftp	submitted_ftp	submitted_format	sra_ftp	sample_alias
PRJNA544527	SAMN11846275	SRX5976953	SRR9205532	328813	Alistipes onderdonkii	WGS	2774590	751138480	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205532/SRR9205532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/002/SRR9205532/SRR9205532_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/002/SRR9205532	am_0006_0094_b1
PRJNA544527	SAMN11846276	SRX5976952	SRR9205533	328813	Alistipes onderdonkii	WGS	1833203	499799936	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205533/SRR9205533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/003/SRR9205533/SRR9205533_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/003/SRR9205533	am_0006_0094_b2
PRJNA544527	SAMN11846277	SRX5976951	SRR9205534	328813	Alistipes onderdonkii	WGS	1664135	455452054	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205534/SRR9205534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/004/SRR9205534/SRR9205534_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/004/SRR9205534	am_0006_0094_b3
PRJNA544527	SAMN11846353	SRX5976950	SRR9205535	328813	Alistipes onderdonkii	WGS	2859425	782309510	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205535/SRR9205535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/005/SRR9205535/SRR9205535_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/005/SRR9205535	am_0014_0091_c3
PRJNA544527	SAMN11846352	SRX5976949	SRR9205536	328813	Alistipes onderdonkii	WGS	1678416	459667362	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205536/SRR9205536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/006/SRR9205536/SRR9205536_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/006/SRR9205536	am_0014_0091_c2
PRJNA544527	SAMN11846351	SRX5976948	SRR9205537	328813	Alistipes onderdonkii	WGS	2655846	725321878	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205537/SRR9205537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/007/SRR9205537/SRR9205537_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/007/SRR9205537	am_0014_0091_c1
PRJNA544527	SAMN11846350	SRX5976947	SRR9205538	328813	Alistipes onderdonkii	WGS	2764135	750748448	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205538/SRR9205538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/008/SRR9205538/SRR9205538_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/008/SRR9205538	am_0014_0091_c12
PRJNA544527	SAMN11846357	SRX5976946	SRR9205539	328813	Alistipes onderdonkii	WGS	2687198	732018245	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205539/SRR9205539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/009/SRR9205539/SRR9205539_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/009/SRR9205539	am_0014_0091_c8
PRJNA544527	SAMN11846356	SRX5976945	SRR9205540	328813	Alistipes onderdonkii	WGS	3183501	846922963	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205540/SRR9205540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/000/SRR9205540/SRR9205540_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/000/SRR9205540	am_0014_0091_c6
PRJNA544527	SAMN11846355	SRX5976944	SRR9205541	328813	Alistipes onderdonkii	WGS	3232277	868726054	ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205541/SRR9205541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR920/001/SRR9205541/SRR9205541_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR920/001/SRR9205541	am_0014_0091_c5
